foodh,foodr,rent,oper,furn,cloth,tranop,recr
1.3157936893754904e-01,5.6820333260028701e-02,3.0247630623667376e-01,5.6580436307345383e-02,4.1506271629438027e-02,1.4266779842818744e-01,1.9995497541612178e-01,2.9481177852838381e-02
1.4064004569000776e-01,5.8183986144219720e-02,2.9141207607817127e-01,4.9501338023610682e-02,5.9054761350911804e-02,1.4499061743427794e-01,1.5511292081094891e-01,5.8021947773049712e-02
1.3444258800790068e-01,1.0082201579772225e-01,2.5919830350179729e-01,3.5468526415472726e-02,4.9768048719029602e-02,1.2818582979317364e-01,1.8760599954347065e-01,7.9748105407187311e-02
1.5789216531754316e-01,8.0342213675498445e-02,3.0369092675960041e-01,3.3470471382447887e-02,2.8855665860499782e-02,1.1642736986587404e-01,2.0697986067435711e-01,4.7642419333107748e-02
1.0156175241369894e-01,1.1637425872066294e-01,1.9393482006823823e-01,4.2498133294274466e-02,8.0705930608832910e-02,1.5549364223616935e-01,1.6041827706636358e-01,1.2370238583012221e-01
1.2384910593919933e-01,6.5853385390039945e-02,2.6839914769485046e-01,4.9433096610463460e-02,7.0888799299138508e-02,1.6194758393686015e-01,1.4730634932551248e-01,6.6220756342693199e-02
8.6984804020346820e-02,1.2163308985331128e-01,1.6730656009799658e-01,4.3615331434278523e-02,9.0365837939155105e-02,1.7207038287532878e-01,1.6219801625844552e-01,1.3113414130613343e-01
1.3449014812873811e-01,7.7957883828713298e-02,2.7873538424778938e-01,6.1399642636659729e-02,7.7542681324258442e-02,1.8015295212536106e-01,6.8660800857895041e-02,7.1567757032120677e-02
2.0548557575499549e-01,8.9570644078515296e-02,3.4194992410516750e-01,4.2447034785787527e-02,3.4128657894076347e-02,1.1927634617163907e-01,9.6475713306210076e-02,4.4038754615770358e-02
2.0860678852159503e-01,5.0349842973715385e-02,3.7894108759063139e-01,5.8023274805435662e-02,4.3155431906038752e-02,1.1380590090477209e-01,5.6214320091036232e-02,5.0574865794806828e-02
2.6120616010645636e-01,4.8456633342931682e-02,2.8222790765463457e-01,7.7719150304611281e-02,4.3119949243149776e-02,1.1072733090702767e-01,7.0635854954221519e-02,6.7942037628752561e-02
2.5411972349196915e-01,4.8704892686316836e-02,2.9630188261781931e-01,7.5101270441765303e-02,4.2346828941645119e-02,1.1095071164565296e-01,7.0441886912574608e-02,6.4489813012079303e-02
2.0674489543921659e-01,5.6252329760903996e-02,3.4974781775720559e-01,6.7267021217254544e-02,4.0832557720609154e-02,1.1875358080393741e-01,7.9114650265129483e-02,4.5762886393698674e-02
2.5254817902833998e-01,3.0827390728717558e-02,3.6900897078502348e-01,6.9299250770582119e-02,3.8016257317136801e-02,9.7040566845771961e-02,5.8361775959805552e-02,5.2094790828881465e-02
1.9902816428194831e-01,5.4155406592006947e-02,3.7545882115308638e-01,5.8527550375677327e-02,4.4454830316049534e-02,1.1815125470334613e-01,6.0937707004997024e-02,4.9385450831072514e-02
1.8070681426662349e-01,6.1816313779968532e-02,3.6668538663044886e-01,6.0239983409770839e-02,4.5914301290932949e-02,1.2709196648191229e-01,7.4861317160530058e-02,4.5091816802335705e-02
1.9288571036190855e-01,8.2597830365634492e-02,3.7514585788334120e-01,4.2506169454048025e-02,3.7869784397821890e-02,1.0631967708413839e-01,8.7359068688619396e-02,5.4488375195005233e-02
1.6740274292429316e-01,1.0343503660336069e-01,3.4616365665303334e-01,3.9272444246879180e-02,4.1229636149664808e-02,1.2004048246869226e-01,9.8064488851483958e-02,6.2178748574232105e-02
2.0122267452921200e-01,5.3511025878423046e-02,3.7494630578241922e-01,5.8820516901067571e-02,4.3656076897920802e-02,1.1753231225560963e-01,6.2417980446299842e-02,4.8665671803041891e-02
1.5743075110736524e-01,7.2241688374110519e-02,3.4416818800899679e-01,5.9954393619906815e-02,5.5704882610499849e-02,1.4157614792797138e-01,7.3604161470762069e-02,5.4228129149394705e-02
2.4450499714675075e-01,7.5296589970193561e-02,3.4388869263643806e-01,3.5880260366841540e-02,3.3726893809231606e-02,1.0623181268441355e-01,7.3571043941573239e-02,5.8603315716414132e-02
1.7168146338448573e-01,6.5270560409112194e-02,3.5671110023954167e-01,5.9775089072705533e-02,5.4202688847834121e-02,1.3214165434079403e-01,5.8099686814904933e-02,5.7555396088188569e-02
2.0721126064713072e-01,9.0194101348425038e-02,3.3399854695586989e-01,4.4730922038456043e-02,3.4348547560576037e-02,1.2107416122147539e-01,9.8225841716019446e-02,4.2667486955094709e-02
1.6742091291173861e-01,1.0527625909715423e-01,3.3627760980465154e-01,4.0634999302944556e-02,4.4389766010647473e-02,1.1788056560589831e-01,9.1586983662333324e-02,7.3207722413563187e-02
1.7053919830729428e-01,4.7983245935530432e-02,3.3632186577993123e-01,4.9963373349064540e-02,4.1172139194861332e-02,1.1027561034425581e-01,1.5784396556249281e-01,4.5179440401243422e-02
1.4461888112860230e-01,9.5334929041181626e-02,2.9695067628657895e-01,3.2078498068970729e-02,3.4599133668132123e-02,1.1164095832360119e-01,2.1104690078944124e-01,5.4684940451713591e-02
